#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,22376443.68370222
2,22366107.91911555
3,22355838.63258347
4,22345635.1711634
5,22335496.89181571
6,22325423.16121825
7,22315413.35558432
8,22305466.8604846
9,22295583.07067234
10,22285761.38991224
11,22276001.23081263
12,22266302.01466113
13,22256663.1712634
14,22247084.13878528
15,22237564.36359799
16,22228103.30012644
17,22218700.41070054
18,22209355.16540949
19,22200067.04195899
20,22190835.52553121
21,22181660.10864767
22,22172540.29103473
23,22163475.57949182
24,22154465.48776225
25,22145509.53640664
26,22136607.25267876
27,22127758.17040398
28,22118961.82985997
29,22110217.77765986
30,22101525.56663776
31,22092884.75573638
32,22084294.90989704
33,22075755.59995179
34,22067266.40251762
35,22058826.89989287
36,22050436.67995556
37,22042095.33606379
38,22033802.46695819
39,22025557.67666607
40,22017360.57440767
41,22009210.7745042
42,22001107.89628761
43,21993051.56401225
44,21985041.40676818
45,21977077.05839621
46,21969158.15740464
47,21961284.34688759
48,21953455.27444497
49,21945670.59210396
50,21937929.95624211
51,21930233.0275119
52,21922579.47076671
53,21914968.95498841
54,21907401.15321616
55,21899875.7424768
56,21892392.4037164
57,21884950.82173332
58,21877550.68511245
59,21870191.68616079
60,21862873.52084427
61,21855595.88872584
62,21848358.49290463
63,21841161.03995648
64,21834003.23987543
65,21826884.80601656
66,21819805.45503967
67,21812764.90685435
68,21805762.88456583
69,21798799.11442204
70,21791873.32576172
71,21784985.2509634
72,21778134.62539542
73,21771321.18736697
74,21764544.67808
75,21757804.84158204
76,21751101.42472005
77,21744434.17709495
78,21737802.85101729
79,21731207.20146345
80,21724646.98603295
81,21718121.96490646
82,21711631.90080459
83,21705176.5589475
84,21698755.70701533
85,21692369.11510925
86,21686016.55571337
87,21679697.80365734
88,21673412.63607964
89,21667160.83239156
90,21660942.17424194
91,21654756.4454824
92,21648603.43213347
93,21642482.92235113
94,21636394.70639417
95,21630338.57659196
96,21624314.32731305
97,21618321.75493418
98,21612360.65780996
99,21606430.83624311
100,21600532.09245521
101,21594664.23055805
102,21588827.0565255
103,21583020.37816588
104,21577244.00509487
105,21571497.7487089
106,21565781.42215906
107,21560094.84032548
108,21554437.81979217
109,21548810.17882233
110,21543211.73733417
111,21537642.31687707
112,21532101.74060826
113,21526589.83326993
114,21521106.42116667
115,21515651.33214342
116,21510224.39556384
117,21504825.44228891
118,21499454.30465611
119,21494110.81645892
120,21488794.8129266
121,21483506.13070443
122,21478244.60783433
123,21473010.08373575
124,21467802.39918692
125,21462621.39630651
126,21457466.91853552
127,21452338.81061954
128,21447236.91859137
129,21442161.08975387
130,21437111.17266316
131,21432087.01711213
132,21427088.4741142
133,21422115.39588739
134,21417167.63583873
135,21412245.04854879
136,21407347.48975667
137,21402474.81634513
138,21397626.88632601
139,21392803.55882591
140,21388004.69407214
141,21383230.15337889
142,21378479.79913361
143,21373753.49478371
144,21369051.10482341
145,21364372.49478088
146,21359717.53120552
147,21355086.08165557
148,21350478.01468581
149,21345893.19983558
150,21341331.50761693
151,21336792.80950299
152,21332276.97791657
153,21327783.88621893
154,21323313.4086987
155,21318865.42056104
156,21314439.79791699
157,21310036.41777295
158,21305655.15802037
159,21301295.89742559
160,21296958.51561987
161,21292642.89308957
162,21288348.91116653
163,21284076.45201851
164,21279825.39863994
165,21275595.63484262
166,21271387.04524686
167,21267199.51527239
168,21263032.93112977
169,21258887.17981173
170,21254762.14908472
171,21250657.72748058
172,21246573.80428834
173,21242510.26954618
174,21238467.01403349
175,21234443.92926304
176,21230440.90747336
177,21226457.84162109
178,21222494.62537364
179,21218551.15310175
180,21214627.31987241
181,21210723.02144165
182,21206838.15424761
183,21202972.61540363
184,21199126.30269154
185,21195299.11455489
186,21191490.95009247
187,21187701.70905181
188,21183931.2918228
189,21180179.59943145
190,21176446.53353366
191,21172731.99640924
192,21169035.89095576
193,21165358.12068282
194,21161698.58970608
195,21158057.20274164
196,21154433.86510034
197,21150828.48268222
198,21147240.96197105
199,21143671.21002889
200,21140119.13449081
201,21136584.64355963
202,21133067.64600072
203,21129568.05113697
204,21126085.76884374
205,21122620.70954387
206,21119172.78420286
207,21115741.90432402
208,21112327.98194376
209,21108930.92962688
210,21105550.66046197
211,21102187.08805687
212,21098840.12653419
213,21095509.69052686
214,21092195.69517381
215,21088898.05611562
216,21085616.68949033
217,21082351.51192917
218,21079102.44055256
219,21075869.39296589
220,21072652.28725562
221,21069451.04198522
222,21066265.57619134
223,21063095.80937986
224,21059941.66152215
225,21056803.05305129
226,21053679.90485832
227,21050572.13828862
228,21047479.67513827
229,21044402.43765046
230,21041340.34851201
231,21038293.33084986
232,21035261.30822761
233,21032244.20464218
234,21029241.94452042
235,21026254.45271578
236,21023281.6545051
237,21020323.47558534
238,21017379.84207037
239,21014450.68048788
240,21011535.91777623
241,21008635.48128134
242,21005749.29875375
243,21002877.29834551
244,21000019.40860729
245,20997175.55848538
246,20994345.67731889
247,20991529.69483679
248,20988727.54115514
249,20985939.14677427
250,20983164.44257601
251,20980403.35982097
252,20977655.83014585
253,20974921.78556073
254,20972201.15844648
255,20969493.88155212
256,20966799.8879922
257,20964119.11124434
258,20961451.48514661
259,20958796.94389509
260,20956155.4220414
261,20953526.85449021
262,20950911.17649688
263,20948308.32366502
264,20945718.23194415
265,20943140.83762738
266,20940576.07734905
267,20938023.88808246
268,20935484.20713763
269,20932956.97215899
270,20930442.12112322
271,20927939.59233705
272,20925449.32443504
273,20922971.25637748
274,20920505.32744821
275,20918051.47725255
276,20915609.64571519
277,20913179.77307814
278,20910761.79989868
279,20908355.66704731
280,20905961.31570575
281,20903578.68736498
282,20901207.72382326
283,20898848.36718418
284,20896500.5598547
285,20894164.24454327
286,20891839.36425797
287,20889525.86230453
288,20887223.6822846
289,20884932.76809381
290,20882653.06391998
291,20880384.51424135
292,20878127.0638247
293,20875880.65772371
294,20873645.24127705
295,20871420.76010676
296,20869207.16011647
297,20867004.38748967
298,20864812.38868807
299,20862631.11044988
300,20860460.49978818
301,20858300.5039892
302,20856151.07061078
303,20854012.14748066
304,20851883.6826949
305,20849765.62461635
306,20847657.92187296
307,20845560.52335628
308,20843473.37821993
309,20841396.43587795
310,20839329.6460034
311,20837272.95852678
312,20835226.32363451
313,20833189.69176748
314,20831163.01361957
315,20829146.24013615
316,20827139.32251266
317,20825142.21219314
318,20823154.86086883
319,20821177.22047672
320,20819209.24319816
321,20817250.88145747
322,20815302.08792052
323,20813362.81549338
324,20811433.01732099
325,20809512.64678574
326,20807601.65750614
327,20805700.00333553
328,20803807.63836073
329,20801924.51690071
330,20800050.59350533
331,20798185.82295403
332,20796330.16025447
333,20794483.56064142
334,20792645.97957534
335,20790817.37274121
336,20788997.69604727
337,20787186.90562375
338,20785384.95782169
339,20783591.8092117
340,20781807.41658275
341,20780031.73694096
342,20778264.72750843
343,20776506.34572205
344,20774756.5492323
345,20773015.29590214
346,20771282.54380578
347,20769558.25122758
348,20767842.37666089
349,20766134.87880693
350,20764435.71657363
351,20762744.84907456
352,20761062.23562778
353,20759387.83575474
354,20757721.60917922
355,20756063.51582621
356,20754413.5158208
357,20752771.56948719
358,20751137.63734755
359,20749511.68012099
360,20747893.65872252
361,20746283.53426197
362,20744681.26804298
363,20743086.82156198
364,20741500.15650709
365,20739921.23475723
366,20738350.01838098
367,20736786.46963567
368,20735230.55096633
369,20733682.22500472
370,20732141.45456833
371,20730608.20265942
372,20729082.43246404
373,20727564.10735104
374,20726053.19087116
375,20724549.64675602
376,20723053.43891723
377,20721564.5314454
378,20720082.88860922
379,20718608.47485453
380,20717141.25480342
381,20715681.19325325
382,20714228.2551758
383,20712782.40571633
384,20711343.61019271
385,20709911.83409445
386,20708487.04308192
387,20707069.20298535
388,20705658.27980404
389,20704254.23970542
390,20702857.04902427
391,20701466.67426171
392,20700083.08208448
393,20698706.23932405
394,20697336.11297571
395,20695972.67019781
396,20694615.87831086
397,20693265.70479672
398,20691922.11729779
399,20690585.08361617
400,20689254.57171281
401,20687930.54970675
402,20686612.9858743
403,20685301.84864817
404,20683997.10661677
405,20682698.72852336
406,20681406.68326526
407,20680120.93989306
408,20678841.46760986
409,20677568.2357705
410,20676301.21388073
411,20675040.37159653
412,20673785.67872326
413,20672537.10521495
414,20671294.62117356
415,20670058.19684817
416,20668827.80263429
417,20667603.40907308
418,20666384.98685067
419,20665172.50679731
420,20663965.93988678
421,20662765.25723558
422,20661570.43010223
423,20660381.42988653
424,20659198.2281289
425,20658020.79650962
426,20656849.10684816
427,20655683.13110243
428,20654522.84136814
429,20653368.20987808
430,20652219.20900141
431,20651075.81124302
432,20649937.98924281
