#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
5e-08,-0.00240756780093649,5e-08,-0.9119093992315577
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
1.05e-06,-0.09129899798581001,1.05e-06,-0.9119114223463934
