#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,-404.2922801966211
5e-08,-720.3348096863455,5e-08,-404.3154080345274
1.005e-05,-240.1103692339188,1.005e-05,-404.2768616380169
1.205e-05,-180.0819671147455,1.205e-05,-404.2691523587148
1.705e-05,-144.0647407419418,1.705e-05,-404.2498791604596
1.805e-05,-102.9017996663653,1.805e-05,-404.2460245208085
1.805e-05,-102.9017996663653,1.805e-05,-404.2460245208085
1.905e-05,-90.03820704394435,1.905e-05,-404.2421698811575
2.005e-05,-72.02889970911862,2.005e-05,-404.2383152415064
2.005e-05,-72.02889970911862,2.005e-05,-404.2383152415064
2.105e-05,-48.01541008270156,2.105e-05,-404.2344606018553
2.105e-05,-48.01541008270156,2.105e-05,-404.2344606018553
2.105e-05,-48.01541008270156,2.105e-05,-404.2344606018553
2.105e-05,-48.01541008270156,2.105e-05,-404.2344606018553
2.105e-05,-48.01541008270156,2.105e-05,-404.2344606018553
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.205e-05,-34.29196139194255,2.205e-05,-404.2306059622043
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
2.305e-05,-16.73208020950366,2.305e-05,-404.2267513225532
