#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,7.421521343051241e+20
2,7.418137834222075e+20
3,7.414776110543661e+20
4,7.411435957688597e+20
5,7.408117164583748e+20
6,7.404819523349187e+20
7,7.401542829238454e+20
8,7.398286880579937e+20
9,7.395051478719448e+20
10,7.391836427963964e+20
11,7.388641535526451e+20
12,7.385466611471833e+20
13,7.382311468664002e+20
14,7.379175922713914e+20
15,7.3760597919287e+20
16,7.372962897261798e+20
17,7.369885062264088e+20
18,7.36682611303598e+20
19,7.363785878180469e+20
20,7.360764188757125e+20
21,7.357760878236995e+20
22,7.354775782458397e+20
23,7.35180873958361e+20
24,7.348859590056389e+20
25,7.345928176560366e+20
26,7.34301434397825e+20
27,7.340117939351842e+20
28,7.337238811842842e+20
29,7.334376812694447e+20
30,7.331531795193676e+20
31,7.328703614634484e+20
32,7.325892128281568e+20
33,7.323097195334921e+20
34,7.320318676895059e+20
35,7.317556435928954e+20
36,7.314810337236626e+20
37,7.312080247418421e+20
38,7.309366034842883e+20
39,7.306667569615336e+20
40,7.30398472354699e+20
41,7.301317370124761e+20
42,7.298665384481582e+20
43,7.296028643367383e+20
44,7.293407025120591e+20
45,7.290800409640204e+20
46,7.288208678358423e+20
47,7.285631714213801e+20
48,7.283069401624939e+20
49,7.280521626464694e+20
50,7.277988276034875e+20
51,7.275469239041457e+20
52,7.272964405570263e+20
53,7.270473667063137e+20
54,7.267996916294572e+20
55,7.265534047348784e+20
56,7.263084955597267e+20
57,7.26064953767675e+20
58,7.258227691467604e+20
59,7.255819316072659e+20
60,7.25342431179645e+20
61,7.251042580124836e+20
62,7.248674023705051e+20
63,7.246318546326115e+20
64,7.24397605289963e+20
65,7.241646449440978e+20
66,7.23932964305082e+20
67,7.237025541897034e+20
68,7.234734055196913e+20
69,7.232455093199796e+20
70,7.230188567169967e+20
71,7.227934389369918e+20
72,7.22569247304392e+20
73,7.223462732401919e+20
74,7.221245082603739e+20
75,7.219039439743578e+20
76,7.216845720834834e+20
77,7.214663843795173e+20
78,7.212493727431932e+20
79,7.210335291427758e+20
80,7.208188456326566e+20
81,7.206053143519724e+20
82,7.203929275232527e+20
83,7.201816774510928e+20
84,7.199715565208505e+20
85,7.197625571973686e+20
86,7.195546720237236e+20
87,7.19347893619994e+20
