#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
6.050000000000001e-06,-360.1667107215121,6.050000000000001e-06,2308300246.883868
5e-08,-720.3348096863455,5e-08,2308432546.390709
5e-08,-720.3348096863455,5e-08,2308432546.390709
5e-08,-720.3348096863455,5e-08,2308432546.390709
5e-08,-720.3348096863455,5e-08,2308432546.390709
5e-08,-720.3348096863455,5e-08,2308432546.390709
5e-08,-720.3348096863455,5e-08,2308432546.390709
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.005e-05,-240.1103692339188,1.005e-05,2308212047.212641
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.205e-05,-180.0819671147455,1.205e-05,2308167947.377028
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.705e-05,-144.0647407419418,1.705e-05,2308057697.787993
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.805e-05,-102.9017996663653,1.805e-05,2308035647.870186
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
1.905e-05,-90.03820704394435,1.905e-05,2308013597.95238
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.005e-05,-72.02889970911862,2.005e-05,2307991548.034573
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.105e-05,-48.01541008270156,2.105e-05,2307969498.116766
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
2.205e-05,-34.29196139194255,2.205e-05,2307947448.198959
