#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
6.050000000000001e-06+0i,-0.0008841733555675045+0i,6.050000000000001e-06+0i,-0.7521699407143312+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
5e-08+0i,-0.0004419889574715984+0i,5e-08+0i,-0.752158915214299+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.005e-05+0i,-0.001326553367205775+0i,1.005e-05+0i,-0.752177291047686+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.205e-05+0i,-0.001769129165534056+0i,1.205e-05+0i,-0.7521809662143634+0i
1.705e-05+0i,-0.002211900923930097+0i,1.705e-05+0i,-0.7521901541310569+0i
1.705e-05+0i,-0.002211900923930097+0i,1.705e-05+0i,-0.7521901541310569+0i
1.705e-05+0i,-0.002211900923930097+0i,1.705e-05+0i,-0.7521901541310569+0i
1.705e-05+0i,-0.002211900923930097+0i,1.705e-05+0i,-0.7521901541310569+0i
1.705e-05+0i,-0.002211900923930097+0i,1.705e-05+0i,-0.7521901541310569+0i
