#Pareto - Cost J(iterations) convergence
#iterations, J(iterations)
1+0i,1.108862699863308-0.04087968201032418i
2+0i,1.087224408323163-0.04088749306359456i
3+0i,1.078395857924045-0.04087336481221851i
4+0i,1.072989405359541-0.04085348445799145i
5+0i,1.068508511949447-0.04083215625240924i
6+0i,1.064289193474622-0.04081052441161731i
7+0i,1.060154798016376-0.04078889280447125i
8+0i,1.056058270516514-0.04076734182804945i
9+0i,1.051987020054427-0.04074589245358088i
10+0i,1.04793762116415-0.04072454985123002i
11+0i,1.043909086144034-0.04070331499124204i
12+0i,1.039901075957516-0.04068218772902907i
13+0i,1.035913424455315-0.04066116762557818i
14+0i,1.031946011849679-0.04064025416561218i
15+0i,1.027998731065416-0.04061944681559502i
16+0i,1.024071478789626-0.04059874503914692i
17+0i,1.020164153089675-0.04057814830113349i
18+0i,1.016276652777732-0.04055765606874304i
19+0i,1.012408877239959-0.04053726781176287i
20+0i,1.008560726389096-0.04051698300264278i
21+0i,1.004732100649991-0.04049680111650192i
22+0i,1.000922900953889-0.04047672163112068i
23+0i,0.9971330287349823-0.04045674402692857i
24+0i,0.9933623859276672-0.04043686778699129i
25+0i,0.9896108749639264-0.0404170923969973i
26+0i,0.9858783987708021-0.04039741734524462i
27+0i,0.9821648607678851-0.04037784212262766i
28+0i,0.9784701648647909-0.04035836622262386i
29+0i,0.9747942154586886-0.04033898914128081i
30+0i,0.9711369174318438-0.04031971037720303i
31+0i,0.9674981761491195-0.04030052943153912i
32+0i,0.9638778974555625-0.04028144580796875i
33+0i,0.9602759876739334-0.04026245901268989i
34+0i,0.9566923536023141-0.04024356855440604i
35+0i,0.9531269025116879-0.04022477394431343i
36+0i,0.9495795421435266-0.04020607469608845i
37+0i,0.9460501807074105-0.04018747032587507i
38+0i,0.9425387268786559-0.04016896035227226i
39+0i,0.9390450897959615-0.04015054429632161i
40+0i,0.9355691790590356-0.04013222168149482i
41+0i,0.9321109047262711-0.04011399203368154i
42+0i,0.9286701773124133-0.04009585488117691i
43+0i,0.9252469077862455-0.04007780975466953i
44+0i,0.9218410075682872-0.04005985618722922i
45+0i,0.9184523885285178-0.04004199371429489i
46+0i,0.9150809629840448-0.04002422187366268i
47+0i,0.9117266436968989-0.04000654020547381i
48+0i,0.908389343871731-0.03998894825220287i
49+0i,0.90506897715359-0.03997144555864579i
50+0i,0.9017654576256765-0.03995403167190823i
51+0i,0.8984786998071292-0.03993670614139377i
52+0i,0.8952086186507919-0.03991946851879224i
53+0i,0.8919551295410605-0.03990231835806817i
54+0i,0.8887181482916271-0.03988525521544924i
55+0i,0.8854975911433624-0.03986827864941478i
56+0i,0.8822933747620992-0.03985138822068431i
57+0i,0.8791054162365145-0.03983458349220626i
58+0i,0.8759336330759698-0.03981786402914659i
59+0i,0.872777943208366-0.03980122939887759i
60+0i,0.8696382649780342-0.03978467917096659i
61+0i,0.866514517143616-0.03976821291716498i
62+0i,0.863406618875966-0.03975183021139696i
63+0i,0.8603144897560558-0.03973553062974866i
64+0i,0.8572380497728921-0.03971931375045704i
65+0i,0.8541772193214581-0.03970317915389907i
66+0i,0.851131919200624-0.03968712642258088i
67+0i,0.8481020706111428-0.03967115514112685i
68+0i,0.8450875951535737-0.039655264896269i
69+0i,0.842088414826259-0.03963945527683616i
70+0i,0.8391044520233403-0.03962372587374346i
71+0i,0.8361356295326937-0.03960807627998163i
72+0i,0.833181870533972-0.0395925060906066i
73+0i,0.8302430985966095-0.03957701490272884i
74+0i,0.827319237677839-0.03956160231550314i
75+0i,0.8244102121207301-0.03954626793011803i
76+0i,0.8215159466522142-0.03953101134978569i
77+0i,0.8186363663811659-0.03951583217973145i
78+0i,0.8157713967964467-0.03950073002718374i
79+0i,0.8129209637649709-0.03948570450136387i
80+0i,0.8100849935298033-0.03947075521347591i
81+0i,0.8072634127082425-0.03945588177669664i
82+0i,0.8044561482899264-0.03944108380616555i
83+0i,0.801663127634931-0.03942636091897485i
84+0i,0.7988842784719032-0.0394117127341596i
85+0i,0.796119528896195-0.03939713887268783i
86+0i,0.7933688073679844-0.03938263895745073i
87+0i,0.7906320427104429-0.03936821261325295i
88+0i,0.7879091641078771-0.03935385946680276i
89+0i,0.785200101103912-0.03933957914670254i
90+0i,0.782504783599661-0.03932537128343908i
91+0i,0.7798231418519053-0.03931123550937402i
92+0i,0.7771551064713057-0.03929717145873438i
93+0i,0.7745006084205888-0.03928317876760309i
94+0i,0.7718595790127647-0.03926925707390953i
95+0i,0.7692319499093743-0.03925540601742018i
96+0i,0.7666176531186767-0.03924162523972934i
97+0i,0.7640166209939275-0.03922791438424979i
98+0i,0.7614287862316185-0.03921427309620363i
99+0i,0.7588540818697186-0.03920070102261301i
100+0i,0.756292441285961-0.03918719781229114i
101+0i,0.7537437981961224-0.03917376311583304i
102+0i,0.7512080866522827-0.03916039658560658i
