#Pareto - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-12.01545228592152+0i,-0.0008841733555675045+0i,-12.01545228592152+0i,0.5300693321730736+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-16.81124283151826+0i,-0.0004419889574715984+0i,-16.81124283151826+0i,1.737957179311044+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.50793792345919+0i,-0.001326553367205775+0i,-11.50793792345919+0i,0.402244644076744+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-11.32644589802761+0i,-0.001769129165534056+0i,-11.32644589802761+0i,0.3565333041449907+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.97936035423475+0i,-0.002211900923930097+0i,-10.97936035423475+0i,0.2691148887078119+0i
-10.92236487318538+0i,-0.003098033015587882+0i,-10.92236487318538+0i,0.2547597686818714+0i
