#Weibull - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-12.01545228592152+0i,-7.030857410969275-0i,-12.01545228592152+0i,-2.504961517407362+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-16.81124283151826+0i,-7.72422565929459-0i,-16.81124283151826+0i,-4.038768024167934+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.50793792345919+0i,-6.625171153604512-0i,-11.50793792345919+0i,-2.342646498847202+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-11.32644589802761+0i,-6.337267850339988-0i,-11.32644589802761+0i,-2.284601084460266+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.97936035423475+0i,-6.113902986591846-0i,-10.97936035423475+0i,-2.173594971826591+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.92236487318538+0i,-5.776987879979081-0i,-10.92236487318538+0i,-2.155366477721541+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.86844345639156+0i,-5.643234929666486-0i,-10.86844345639156+0i,-2.138121141599003+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
-10.8172814042117+0i,-5.419648017264955-0i,-10.8172814042117+0i,-2.121758315118861+0i
