#Cauchy - Cost J(iterations) convergence
#iterations, J(iterations)
1,68702556072.24837
2,68700212583.58336
3,68697881966.41577
4,68695563992.3671
5,68693258437.59356
6,68690965082.69576
7,68688683712.62995
8,68686414116.62112
9,68684156088.07774
10,68681909424.50835
11,68679673927.43966
12,68677449402.33643
13,68675235658.52285
14,68673032509.10548
15,68670839770.8978
16,68668657264.34627
17,68666484813.4578
18,68664322245.7286
19,68662169392.0747
20,68660026086.76363
21,68657892167.34756
22,68655767474.59767
23,68653651852.44006
24,68651545147.89267
25,68649447211.00359
26,68647357894.79066
27,68645277055.18214
28,68643204550.95872
29,68641140243.69644
30,68639083997.71113
31,68637035680.0035
32,68634995160.20576
33,68632962310.52901
34,68630937005.71175
35,68628919122.96961
36,68626908541.94569
37,68624905144.66233
38,68622908815.47346
39,68620919441.01827
40,68618936910.17542
41,68616961114.01846
42,68614991945.77204
43,68613029300.76896
44,68611073076.40807
45,68609123172.11311
46,68607179489.29233
47,68605241931.29881
48,68603310403.39165
49,68601384812.69807
50,68599465068.17604
51,68597551080.57777
52,68595642762.41385
53,68593740027.91835
54,68591842793.01421
55,68589950975.27971
56,68588064493.91537
57,68586183269.71163
58,68584307225.01708
59,68582436283.70743
60,68580570371.15496
61,68578709414.19881
62,68576853341.11556
63,68575002081.59064
64,68573155566.69022
65,68571313728.83366
66,68569476501.76649
67,68567643820.53404
68,68565815621.45542
69,68563991842.09808
70,68562172421.25308
71,68560357298.91054
72,68558546416.2357
73,68556739715.54566
74,68554937140.28617
75,68553138635.00933
76,68551344145.35141
77,68549553618.01117
78,68547767000.72889
79,68545984242.26534
80,68544205292.38155
81,68542430101.81895
82,68540658622.27966
83,68538890806.40733
84,68537126607.76859
85,68535365980.83433
86,68533608880.96191
87,68531855264.37737
88,68530105088.15814
89,68528358310.21607
90,68526614889.28075
91,68524874784.88323
92,68523137957.34006
93,68521404367.73763
94,68519673977.91682
95,68517946750.45789
96,68516222648.66579
97,68514501636.55576
98,68512783678.8391
99,68511068740.90933
100,68509356788.82855
101,68507647789.31419
102,68505941709.72581
103,68504238518.05247
104,68502538182.90011
105,68500840673.47916
106,68499145959.59266
107,68497454011.62429
108,68495764800.52695
109,68494078297.81128
110,68492394475.53465
111,68490713306.29018
112,68489034763.19609
113,68487358819.88536
114,68485685450.49519
115,68484014629.65727
116,68482346332.4877
117,68480680534.57745
118,68479017211.9829
119,68477356341.21648
120,68475697899.23767
121,68474041863.44406
122,68472388211.66264
123,68470736922.14124
124,68469087973.54013
125,68467441344.92384
126,68465797015.75307
127,68464154965.87682
128,68462515175.52466
129,68460877625.29913
130,68459242296.16834
131,68457609169.4587
132,68455978226.84775
133,68454349450.35715
134,68452722822.34592
135,68451098325.50366
136,68449475942.8439
137,68447855657.69784
138,68446237453.70786
139,68444621314.82135
140,68443007225.28475
141,68441395169.63741
142,68439785132.70598
143,68438177099.59853
144,68436571055.69901
145,68434966986.66175
146,68433364878.40605
147,68431764717.11104
148,68430166489.21033
149,68428570181.38709
150,68426975780.56893
151,68425383273.92331
152,68423792648.85239
153,68422203892.98872
154,68420616994.19048
155,68419031940.53696
156,68417448720.32432
157,68415867322.06115
158,68414287734.46419
159,68412709946.45446
160,68411133947.15288
161,68409559725.87652
162,68407987272.13461
163,68406416575.62468
164,68404847626.22898
165,68403280414.01062
166,68401714929.21011
167,68400151162.24177
168,68398589103.69031
169,68397028744.30741
170,68395470075.00848
171,68393913086.86928
172,68392357771.12289
173,68390804119.15648
174,68389252122.5083
175,68387701772.86462
176,68386153062.05688
177,68384605982.0588
178,68383060524.98344
179,68381516683.08057
180,68379974448.73389
181,68378433814.45844
182,68376894772.89792
183,68375357316.82217
184,68373821439.12462
185,68372287132.81998
186,68370754391.04169
187,68369223207.03961
188,68367693574.17774
189,68366165485.93199
190,68364638935.88787
191,68363113917.73833
192,68361590425.28178
193,68360068452.41979
194,68358547993.15517
195,68357029041.59
196,68355511591.92355
197,68353995638.45048
198,68352481175.55882
199,68350968197.72824
200,68349456699.52819
201,68347946675.61613
202,68346438120.73578
203,68344931029.71542
204,68343425397.46622
205,68341921218.98064
206,68340418489.33075
207,68338917203.66672
208,68337417357.21527
209,68335918945.27808
210,68334421963.23045
211,68332926406.51973
212,68331432270.66398
213,68329939551.25047
214,68328448243.93449
215,68326958344.43778
216,68325469848.5474
217,68323982752.11444
218,68322497051.0526
219,68321012741.33714
220,68319529819.00352
221,68318048280.14636
222,68316568120.91819
223,68315089337.52824
224,68313611926.24151
225,68312135883.37753
226,68310661205.30927
227,68309187888.46225
228,68307715929.31333
229,68306245324.38985
230,68304776070.26846
231,68303308163.57436
232,68301841600.98022
233,68300376379.20526
234,68298912495.01437
235,68297449945.21713
236,68295988726.66714
237,68294528836.26091
238,68293070270.93719
239,68291613027.67603
240,68290157103.49807
241,68288702495.46371
242,68287249200.6723
243,68285797216.26139
244,68284346539.40608
245,68282897167.31811
246,68281449097.2453
247,68280002326.47074
248,68278556852.31223
249,68277112672.12145
250,68275669783.28342
251,68274228183.21578
252,68272787869.36817
253,68271348839.22165
254,68269911090.28805
255,68268474620.10935
256,68267039426.25716
257,68265605506.33212
258,68264172857.96329
259,68262741478.80761
260,68261311366.54948
261,68259882518.90005
262,68258454933.59679
263,68257028608.40303
264,68255603541.10741
265,68254179729.52328
266,68252757171.48841
267,68251335864.8645
268,68249915807.53654
269,68248496997.41254
270,68247079432.42303
271,68245663110.52058
272,68244248029.67945
273,68242834187.8952
274,68241421583.18409
275,68240010213.58293
276,68238600077.14854
277,68237191171.95732
278,68235783496.10513
279,68234377047.70656
280,68232971824.89485
281,68231567825.82143
282,68230165048.65554
283,68228763491.58399
284,68227363152.81072
285,68225964030.55653
286,68224566123.05877
287,68223169428.57097
288,68221773945.3626
289,68220379671.71877
290,68218986605.93977
291,68217594746.34107
292,68216204091.25276
293,68214814639.01946
294,68213426387.99992
295,68212039336.56689
296,68210653483.10667
297,68209268826.01904
298,68207885363.71695
299,68206503094.62611
300,68205122017.18507
301,68203742129.84467
302,68202363431.06802
303,68200985919.33017
304,68199609593.11787
305,68198234450.92946
306,68196860491.2745
307,68195487712.67378
308,68194116113.65887
309,68192745692.77205
310,68191376448.56613
311,68190008379.60416
312,68188641484.45938
313,68187275761.71484
314,68185911209.96346
315,68184547827.80765
316,68183185613.85918
317,68181824566.73905
318,68180464685.07738
319,68179105967.5131
320,68177748412.69386
321,68176392019.27587
322,68175036785.92377
323,68173682711.31047
324,68172329794.11691
325,68170978033.03204
326,68169627426.75266
327,68168277973.98315
328,68166929673.43552
329,68165582523.8291
330,68164236523.89053
331,68162891672.35361
332,68161547967.95909
333,68160205409.45469
334,68158863995.5948
335,68157523725.14053
336,68156184596.8595
337,68154846609.5257
338,68153509761.91951
339,68152174052.82742
340,68150839481.04198
341,68149506045.36182
342,68148173744.59135
343,68146842577.54082
344,68145512543.02608
345,68144183639.86861
346,68142855866.8953
347,68141529222.93852
348,68140203706.83582
349,68138879317.43005
350,68137556053.56906
351,68136233914.10583
352,68134912897.89821
353,68133593003.80894
354,68132274230.70551
355,68130956577.46013
356,68129640042.94957
357,68128324626.05522
358,68127010325.66284
359,68125697140.66268
360,68124385069.94923
361,68123074112.4212
362,68121764266.98156
363,68120455532.53734
364,68119147907.99958
365,68117841392.28339
366,68116535984.30765
367,68115231682.99522
368,68113928487.27267
369,68112626396.07032
370,68111325408.3221
371,68110025522.96563
372,68108726738.94201
373,68107429055.1959
374,68106132470.67529
375,68104836984.3317
376,68103542595.11986
377,68102249301.99783
378,68100957103.9269
379,68099665999.87154
380,68098375988.7993
381,68097087069.68095
382,68095799241.49007
383,68094512503.20348
384,68093226853.80078
385,68091942292.2645
386,68090658817.58006
387,68089376428.73571
