#Cauchy - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
5e-08,-132.3689216354327,5e-08,-853.3988719659103
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
1.05e-06,-3.556197300590652,1.05e-06,-853.25049698109
