#Exponential - Linearized data and linear fitting
#Linearized-data(x), Linearized-data(y), Aproximation(x), Aproximation(y)
6.050000000000001e-06,-0.0008841733555675045,6.050000000000001e-06,-0.7497059215691289
5e-08,-0.0004419889574715984,5e-08,-0.7496947548446099
1.005e-05,-0.001326553367205775,1.005e-05,-0.7497133660521414
1.205e-05,-0.001769129165534056,1.205e-05,-0.7497170882936477
1.705e-05,-0.002211900923930097,1.705e-05,-0.7497263938974135
1.805e-05,-0.003098033015587882,1.805e-05,-0.7497282550181666
1.805e-05,-0.003098033015587882,1.805e-05,-0.7497282550181666
1.905e-05,-0.003541393696758663,1.905e-05,-0.7497301161389198
2.005e-05,-0.004428705201292925,2.005e-05,-0.749731977259673
2.005e-05,-0.004428705201292925,2.005e-05,-0.749731977259673
2.105e-05,-0.006650434619955715,2.105e-05,-0.7497338383804261
2.105e-05,-0.006650434619955715,2.105e-05,-0.7497338383804261
2.105e-05,-0.006650434619955715,2.105e-05,-0.7497338383804261
2.105e-05,-0.006650434619955715,2.105e-05,-0.7497338383804261
2.105e-05,-0.006650434619955715,2.105e-05,-0.7497338383804261
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.205e-05,-0.009323042001432113,2.205e-05,-0.7497356995011792
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.305e-05,-0.01918417076721226,2.305e-05,-0.7497375606219324
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
2.405e-05,-0.03416062495676958,2.405e-05,-0.7497394217426856
