#Weibull - Cost J(iterations) convergence
#iterations, J(iterations)
1+0i,0.5230170388878206-0.0001494490077973362i
2+0i,0.4141773035068985-0.0001465069239462069i
3+0i,0.384319929705095-0.0001454250068465088i
4+0i,0.3754710006070756-0.0001448392843661092i
5+0i,0.3722134670526562-0.0001443870271688901i
6+0i,0.3704474439275562-0.0001439717668332769i
7+0i,0.369082623951232-0.0001435678418423286i
8+0i,0.3678290381327885-0.0001431684204247611i
9+0i,0.3666095518628834-0.0001427716782492082i
10+0i,0.3654036297767372-0.0001423771226530316i
11+0i,0.3642057880843914-0.0001419846151429055i
12+0i,0.3630145457826475-0.0001415941114478325i
13+0i,0.3618294864460344-0.0001412055923911507i
14+0i,0.3606504768672483-0.0001408190455071111i
15+0i,0.359477459269277-0.000140434460151974i
16+0i,0.3583103960477224-0.0001400518262037133i
17+0i,0.3571492550755466-0.0001396711337160382i
18+0i,0.3559940057946103-0.0001392923728262003i
19+0i,0.3548446181756258-0.0001389155337302895i
20+0i,0.3537010624411556-0.0001385406066764791i
21+0i,0.3525633089912411-0.0001381675819630439i
22+0i,0.3514313283831412-0.0001377964499376497i
23+0i,0.3503050913253919-0.0001374272009969812i
24+0i,0.3491845686756567-0.0001370598255864614i
25+0i,0.348069731439596-0.0001366943141999944i
26+0i,0.3469605507699698-0.0001363306573797189i
27+0i,0.3458569979659956-0.0001359688457157617i
28+0i,0.3447590444724381-0.0001356088698459944i
29+0i,0.3436666618790287-0.0001352507204557913i
30+0i,0.3425798219195776-0.0001348943882777876i
31+0i,0.3414984964713534-0.0001345398640916401i
32+0i,0.3404226575543157-0.0001341871387237899i
33+0i,0.3393522773303548-0.000133836203047222i
34+0i,0.3382873281026693-0.0001334870479812323i
35+0i,0.3372277823149631-0.0001331396644911904i
36+0i,0.3361736125507299-0.0001327940435883066i
37+0i,0.3351247915325927-0.0001324501763294008i
38+0i,0.3340812921215967-0.0001321080538166677i
39+0i,0.3330430873164679-0.0001317676671974493i
40+0i,0.3320101502529034-0.0001314290076640058i
41+0i,0.3309824542029881-0.0001310920664532859i
42+0i,0.3299599725743226-0.0001307568348467011i
43+0i,0.3289426789095281-0.0001304233041699016i
44+0i,0.3279305468853796-0.0001300914657925479i
45+0i,0.3269235503122975-0.000129761311128092i
46+0i,0.3259216631335141-0.0001294328316335522i
47+0i,0.3249248594245245-0.0001291060188092937i
48+0i,0.3239331133923517-0.0001287808641988068i
49+0i,0.3229463993748367-0.0001284573593884899i
50+0i,0.3219646918400874-0.0001281354960074314i
51+0i,0.3209879653857341-0.0001278152657271919i
52+0i,0.3200161947383286-0.0001274966602615911i
53+0i,0.3190493547525922-0.0001271796713664905i
54+0i,0.3180874204108861-0.000126864290839582i
55+0i,0.3171303668224766-0.0001265505105201755i
56+0i,0.3161781692229624-0.0001262383222889872i
57+0i,0.3152308029735492-0.0001259277180679285i
58+0i,0.3142882435604837-0.0001256186898199004i
59+0i,0.3133504665943788-0.0001253112295485815i
60+0i,0.3124174478095963-0.0001250053292982237i
61+0i,0.3114891630636611-0.0001247009811534452i
62+0i,0.3105655883365297-0.0001243981772390261i
63+0i,0.3096466997300607-0.0001240969097197051i
64+0i,0.308732473467394-0.0001237971707999748i
65+0i,0.3078228858922672-0.0001234989527238823i
66+0i,0.306917913468488-0.0001232022477748282i
67+0i,0.3060175327792545-0.0001229070482753652i
68+0i,0.305121720526598-0.0001226133465870009i
69+0i,0.3042304535307439-0.0001223211351100008i
70+0i,0.3033437087295468-0.0001220304062831883i
71+0i,0.3024614631778675-0.0001217411525837538i
72+0i,0.3015836940469759-0.0001214533665270566i
73+0i,0.3007103786240183-0.0001211670406664323i
74+0i,0.2998414943113113-0.0001208821675929999i
75+0i,0.2989770186258882-0.0001205987399354705i
76+0i,0.298116929198854-0.0001203167503599572i
77+0i,0.2972612037747634-0.0001200361915697829i
78+0i,0.2964098202111503-0.0001197570563052942i
79+0i,0.2955627564778628-0.0001194793373436715i
80+0i,0.2947199906565482-0.0001192030274987441i
81+0i,0.2938815009400411-0.0001189281196208025i
82+0i,0.2930472656318494-0.0001186546065964139i
83+0i,0.2922172631455567-0.0001183824813482393i
84+0i,0.2913914720042537-0.0001181117368348484i
85+0i,0.2905698708400355-0.000117842366050538i
86+0i,0.2897524383933867-0.0001175743620251526i
87+0i,0.2889391535126906-0.0001173077178239012i
88+0i,0.2881299951536322-0.00011704242654718i
89+0i,0.2873249423786664-0.0001167784813303925i
90+0i,0.2865239743564997-0.0001165158753437726i
91+0i,0.2857270703615307-0.0001162546017922087i
92+0i,0.2849342097733025-0.0001159946539150643i
93+0i,0.2841453720760177-0.0001157360249860093i
94+0i,0.2833605368579211-0.0001154787083128387i
95+0i,0.2825796838108893-0.0001152226972373054i
96+0i,0.2818027927297863-0.0001149679851349449i
97+0i,0.2810298435120167-0.0001147145654149038i
98+0i,0.2802608161569853-0.000114462431519772i
99+0i,0.2794956907655747-0.0001142115769254082i
100+0i,0.2787344475396298-0.0001139619951407757i
101+0i,0.2779770667814686-0.0001137136797077729i
102+0i,0.2772235288933183-0.0001134666242010643i
103+0i,0.2764738143768668-0.0001132208222279178i
104+0i,0.2757279038327319-0.0001129762674280359i
105+0i,0.2749857779599619-0.0001127329534733933i
106+0i,0.2742474175555333-0.0001124908740680726i
107+0i,0.2735128035138442-0.0001122500229480998i
108+0i,0.2727819168262601-0.000112010393881286i
109+0i,0.2720547385805849-0.0001117719806670615i
110+0i,0.2713312499605506-0.0001115347771363188i
111+0i,0.2706114322454209-0.0001112987771512523i
112+0i,0.2698952668093782-0.0001110639746051976i
113+0i,0.2691827351211702-0.0001108303634224754i
114+0i,0.2684738187435299-0.0001105979375582346i
115+0i,0.2677684993327621-0.0001103666909982941i
116+0i,0.2670667586382138-0.0001101366177589871i
117+0i,0.2663685785018871-0.0001099077118870107i
118+0i,0.2656739408578737-0.0001096799674592656i
119+0i,0.2649828277319326-0.0001094533785827059i
120+0i,0.2642952212410391-0.0001092279393941868i
121+0i,0.2636111035928965-0.0001090036440603125i
122+0i,0.2629304570854921-0.0001087804867772858i
123+0i,0.2622532641066024-0.0001085584617707567i
124+0i,0.2615795071334138-0.0001083375632956736i
125+0i,0.2609091687319878-0.0001081177856361352i
126+0i,0.260242231556844-0.0001078991231052406i
127+0i,0.2595786783505174-0.0001076815700449466i
128+0i,0.2589184919431332-0.0001074651208259149i
129+0i,0.2582616552518762-0.000107249769847372i
130+0i,0.2576081512806609-0.0001070355115369625i
131+0i,0.2569579631196046-0.0001068223403506022i
132+0i,0.2563110739446435-0.0001066102507723389i
133+0i,0.2556674670170686-0.0001063992373142081i
134+0i,0.2550271256831191-0.0001061892945160886i
135+0i,0.25439003337349-0.0001059804169455655i
136+0i,0.2537561736029988-0.0001057725991977858i
137+0i,0.2531255299700665-0.0001055658358953206i
138+0i,0.2524980861563491-0.0001053601216880271i
139+0i,0.2518738259263161-0.0001051554512529053i
140+0i,0.2512527331267849-0.0001049518192939665i
141+0i,0.250634791686579-0.0001047492205420914i
142+0i,0.2500199856159931-0.0001045476497548977i
143+0i,0.2494082990065161-0.0001043471017165997i
144+0i,0.2487997160303175-0.0001041475712378779i
145+0i,0.2481942209399098-0.000103949053155743i
146+0i,0.2475917980676662-0.0001037515423334012i
147+0i,0.2469924318254773-0.0001035550336601228i
148+0i,0.2463961067043416-0.0001033595220511087i
149+0i,0.2458028072739227-0.0001031650024473604i
150+0i,0.2452125181821793-0.0001029714698155481i
151+0i,0.2446252241549944-0.0001027789191478809i
152+0i,0.2440409099956846-0.0001025873454619749i
153+0i,0.2434595605847526-0.0001023967438007286i
154+0i,0.2428811608793503-0.000102207109232192i
155+0i,0.2423056959130074-0.0001020184368494375i
156+0i,0.2417331507951611-0.0001018307217704369i
157+0i,0.241163510710799-0.0001016439591379326i
158+0i,0.2405967609200928-0.0001014581441193102i
159+0i,0.2400328867579876-0.0001012732719064775i
160+0i,0.2394718736338788-0.0001010893377157375i
161+0i,0.2389137070311368-0.0001009063367876654i
162+0i,0.2383583725068049-0.0001007242643869846i
163+0i,0.2378058556912391-0.0001005431158024454i
164+0i,0.2372561422876666-0.0001003628863467021i
165+0i,0.2367092180718814-0.0001001835713561916i
166+0i,0.2361650688918219-0.0001000051661910147i
167+0i,0.2356236806672805-9.982766623481335e-05i
168+0i,0.2350850393894293-9.965106689465217e-05i
169+0i,0.2345491311205532-9.947536360090227e-05i
170+0i,0.2340159419936729-9.930055180711689e-05i
171+0i,0.2334854582121391-9.912662698992009e-05i
172+0i,0.2329576660493163-9.895358464888594e-05i
173+0i,0.2324325518482106-9.878142030642371e-05i
174+0i,0.2319101020211222-9.861012950766203e-05i
175+0i,0.2313903030493228-9.843970782033084e-05i
176+0i,0.2308731414826212-9.827015083465236e-05i
177+0i,0.2303586039391196-9.810145416321961e-05i
178+0i,0.229846677104814-9.793361344089082e-05i
179+0i,0.2293373477332113-9.776662432466971e-05i
180+0i,0.2288306026450753-9.760048249359618e-05i
181+0i,0.2283264287280314-9.743518364863641e-05i
182+0i,0.2278248129362218-9.727072351256667e-05i
