Date;Time;Severity;TID;This;Function;Message
2017/10/19;19:31:31.690;DEBUG;24898;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:10]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:31.714;DEBUG;24898;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:10]: EthernetII/IP(192.168.1.2, 165.124.253.241)/UDP(35990, 15294)/DNS/payload:0"
2017/10/19;19:31:31.714;DEBUG;24898;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:10]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:31.746;DEBUG;24898;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[10]"
2017/10/19;19:31:31.873;DEBUG;24899;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:11] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:31.873;DEBUG;24899;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:11] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:31.873;DEBUG;24899;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:11]: EthernetII/IP(192.168.1.2, 81.236.228.111)/UDP(35990, 42764)/DNS/payload:93"
2017/10/19;19:31:31.873;DEBUG;24899;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:11]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:31.914;DEBUG;24899;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:11]: EthernetII/IP(192.168.1.2, 81.236.228.111)/UDP(35990, 42764)/DNS/payload:0"
2017/10/19;19:31:31.914;DEBUG;24899;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:11]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:31.950;DEBUG;24899;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[11]"
2017/10/19;19:31:32.653;DEBUG;24900;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:12] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:32.653;DEBUG;24900;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:12] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:32.653;DEBUG;24900;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:12]: EthernetII/IP(192.168.1.2, 86.128.163.125)/ICMP/DNS/payload:70"
2017/10/19;19:31:32.653;DEBUG;24900;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:12]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:32.663;DEBUG;24901;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:13] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:32.663;DEBUG;24901;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:13] -> npackets_mode11 npackets_mode2:0"
2017/10/19;19:31:32.663;DEBUG;24901;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:13]: EthernetII/IP(192.168.1.2, 86.134.79.66)/ICMP/DNS/payload:70"
2017/10/19;19:31:32.663;DEBUG;24901;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:13]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:32.694;DEBUG;24900;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:12]: EthernetII/IP(192.168.1.2, 86.128.163.125)/ICMP/DNS/payload:0"
2017/10/19;19:31:32.694;DEBUG;24900;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:12]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:32.710;DEBUG;24901;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:13]: EthernetII/IP(192.168.1.2, 86.134.79.66)/ICMP/DNS/payload:0"
2017/10/19;19:31:32.710;DEBUG;24901;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:13]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:32.718;DEBUG;24900;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[12]"
2017/10/19;19:31:32.758;DEBUG;24901;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[13]"
2017/10/19;19:31:37.715;DEBUG;24902;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:14] -> onTime:0.1 npackets:1 netInterface:h1-eth0"
2017/10/19;19:31:37.715;DEBUG;24902;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:14] -> npackets_mode11 npackets_mode2:0"
