Date;Time;Severity;TID;This;Function;Message
2017/11/09;18:44:38.343;ERROR;13164;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:38.392;ERROR;13164;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:134 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::9186:dbbd:2a45:50c2 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:44:38.665;ERROR;13345;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:38.665;ERROR;13345;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:315 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::25f5:ff:8bc9:3f18 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:44:38.804;ERROR;13466;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:38.804;ERROR;13466;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:436 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::1cbd:1f2f:70b2:2e9 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:160"
2017/11/09;18:44:40.498;ERROR;14042;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:40.498;ERROR;14042;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1010 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::b56e:758f:d6e2:b79e transportProtocol:UDP portDst:547 portSrc546 npackets:4 pktSize:160"
2017/11/09;18:44:41.137;ERROR;14247;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:44:41.137;ERROR;14247;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1215 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::90c:4042:a1c4:8d5 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:159"
